diagnostic_category,diagnosis_icd10_code,diagnosis,dsm_symptom_criteria,symptom_id,symptom_segment,zcode_hrsn,symp_prob
Obsessive-Compulsive and Related Disorders,F42.5,Trichotillomania,Hair loss,F42.5.2,Hair loss,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.5,Trichotillomania,Attempts to stop hair-pulling,F42.5.3,Attempts to stop hair-pulling,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.6,Excoriation Disorder,Recurrent skin-picking,F42.6.1,Recurrent skin-picking,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.6,Excoriation Disorder,Skin lesions,F42.6.2,Skin lesions,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.6,Excoriation Disorder,Attempts to stop skin-picking,F42.6.3,Attempts to stop skin-picking,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.7,Substance/Medication-Induced OCD,Obsessions triggered by substance use,F42.7.1,Obsessions triggered by substance use,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.7,Substance/Medication-Induced OCD,Compulsions triggered by substance use,F42.7.2,Compulsions triggered by substance use,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.7,Substance/Medication-Induced OCD,Excessive cleaning due to substance-induced obsessions,F42.7.3,Excessive cleaning due to substance-induced obsessions,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.7,Substance/Medication-Induced OCD,Repetitive behaviors due to medication use,F42.7.4,Repetitive behaviors due to medication use,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.7,Substance/Medication-Induced OCD,Compulsions due to intoxication,F42.7.5,Compulsions due to intoxication,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.8,OCD Related to Another Medical Condition,Obsessions related to another condition,F42.8.1,Obsessions related to another condition,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.8,OCD Related to Another Medical Condition,Compulsions related to another condition,F42.8.2,Compulsions related to another condition,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.8,OCD Related to Another Medical Condition,Repetitive behaviors linked to medical condition,F42.8.3,Repetitive behaviors linked to medical condition,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.8,OCD Related to Another Medical Condition,Cleaning compulsions due to another condition,F42.8.4,Cleaning compulsions due to another condition,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.8,OCD Related to Another Medical Condition,Counting rituals linked to medical condition,F42.8.5,Counting rituals linked to medical condition,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.8,OCD Related to Another Medical Condition,Excessive checking related to medical condition,F42.8.6,Excessive checking related to medical condition,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,General obsessions and compulsions,F42.9.1,General obsessions and compulsions,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Unclear trigger for obsessions,F42.9.2,Unclear trigger for obsessions,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Ritualistic behaviors,F42.9.3,Ritualistic behaviors,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Fear of contamination with unclear source,F42.9.4,Fear of contamination with unclear source,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Counting without obvious reason,F42.9.5,Counting without obvious reason,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Excessive need for symmetry,F42.9.6,Excessive need for symmetry,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Hoarding for unclear reasons,F42.9.7,Hoarding for unclear reasons,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,General repetitive behaviors,F42.9.8,General repetitive behaviors,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Avoidance of certain objects or situations,F42.9.9,Avoidance of certain objects or situations,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Excessive worry without clear focus,F42.9.10,Excessive worry without clear focus,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Repeated doubts,F42.9.11,Repeated doubts,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Compulsive hand-washing,F42.9.12,Compulsive hand-washing,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Ritualistic behaviors related to time,F42.9.13,Ritualistic behaviors related to time,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Unclear avoidance behaviors,F42.9.14,Unclear avoidance behaviors,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Compulsive cleaning without clear purpose,F42.9.15,Compulsive cleaning without clear purpose,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Avoidance of numbers or words,F42.9.16,Avoidance of numbers or words,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Checking locks repeatedly,F42.9.17,Checking locks repeatedly,No,Symptom
Obsessive-Compulsive and Related Disorders,F42.9,Unspecified OCD,Arranging objects excessively,F42.9.18,Arranging objects excessively,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.10,"Other Substance Use Disorder, Mild",Use in larger amounts or longer than intended,F19.10.1,Use in larger amounts or longer than intended,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.10,"Other Substance Use Disorder, Mild",Persistent desire to cut down or quit,F19.10.2,Persistent desire to cut down or quit,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.10,"Other Substance Use Disorder, Mild",Much time spent using the substance,F19.10.3,Much time spent using the substance,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.10,"Other Substance Use Disorder, Mild",Craving or strong desire to use,F19.10.4,Craving or strong desire to use,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.10,"Other Substance Use Disorder, Mild",Failure to fulfill major obligations,F19.10.5,Failure to fulfill major obligations,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.10,"Other Substance Use Disorder, Mild",Continued use despite social problems,F19.10.6,Continued use despite social problems,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.10,"Other Substance Use Disorder, Mild",Important activities given up or reduced,F19.10.7,Important activities given up or reduced,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.10,"Other Substance Use Disorder, Mild",Use in physically hazardous situations,F19.10.8,Use in physically hazardous situations,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.10,"Other Substance Use Disorder, Mild",Continued use despite physical or psychological problems,F19.10.9,Continued use despite physical or psychological problems,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.10,"Other Substance Use Disorder, Mild",Tolerance: need for increased amounts,F19.10.10,Tolerance: need for increased amounts,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.10,"Other Substance Use Disorder, Mild",Withdrawal symptoms,F19.10.11,Withdrawal symptoms,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Moderate",Use in larger amounts or longer than intended,F19.20.12,Use in larger amounts or longer than intended,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Moderate",Persistent desire to cut down or quit,F19.20.13,Persistent desire to cut down or quit,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Moderate",Much time spent using the substance,F19.20.14,Much time spent using the substance,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Moderate",Craving or strong desire to use,F19.20.15,Craving or strong desire to use,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Moderate",Failure to fulfill major obligations,F19.20.16,Failure to fulfill major obligations,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Moderate",Continued use despite social problems,F19.20.17,Continued use despite social problems,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Moderate",Important activities given up or reduced,F19.20.18,Important activities given up or reduced,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Moderate",Use in physically hazardous situations,F19.20.19,Use in physically hazardous situations,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Moderate",Continued use despite physical or psychological problems,F19.20.20,Continued use despite physical or psychological problems,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Moderate",Tolerance: need for increased amounts,F19.20.21,Tolerance: need for increased amounts,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Moderate",Withdrawal symptoms,F19.20.22,Withdrawal symptoms,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Severe",Use in larger amounts or longer than intended,F19.20.23,Use in larger amounts or longer than intended,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Severe",Persistent desire to cut down or quit,F19.20.24,Persistent desire to cut down or quit,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Severe",Much time spent using the substance,F19.20.25,Much time spent using the substance,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Severe",Craving or strong desire to use,F19.20.26,Craving or strong desire to use,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Severe",Failure to fulfill major obligations,F19.20.27,Failure to fulfill major obligations,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Severe",Continued use despite social problems,F19.20.28,Continued use despite social problems,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Severe",Important activities given up or reduced,F19.20.29,Important activities given up or reduced,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Severe",Use in physically hazardous situations,F19.20.30,Use in physically hazardous situations,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Severe",Continued use despite physical or psychological problems,F19.20.31,Continued use despite physical or psychological problems,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Severe",Tolerance: need for increased amounts,F19.20.32,Tolerance: need for increased amounts,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.20,"Other Substance Use Disorder, Severe",Withdrawal symptoms,F19.20.33,Withdrawal symptoms,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Use in larger amounts or longer than intended,F19.21.34,Use in larger amounts or longer than intended,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Persistent desire to cut down or quit,F19.21.35,Persistent desire to cut down or quit,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Much time spent using the substance,F19.21.36,Much time spent using the substance,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Craving or strong desire to use,F19.21.37,Craving or strong desire to use,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Failure to fulfill major obligations,F19.21.38,Failure to fulfill major obligations,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Continued use despite social problems,F19.21.39,Continued use despite social problems,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Important activities given up or reduced,F19.21.40,Important activities given up or reduced,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Use in physically hazardous situations,F19.21.41,Use in physically hazardous situations,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Continued use despite physical or psychological problems,F19.21.42,Continued use despite physical or psychological problems,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Tolerance: need for increased amounts,F19.21.43,Tolerance: need for increased amounts,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Withdrawal symptoms,F19.21.44,Withdrawal symptoms,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Use in larger amounts or longer than intended,F19.21.34,Use in larger amounts or longer than intended,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Persistent desire to cut down or quit,F19.21.35,Persistent desire to cut down or quit,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Much time spent using the substance,F19.21.36,Much time spent using the substance,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Craving or strong desire to use,F19.21.37,Craving or strong desire to use,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Failure to fulfill major obligations,F19.21.38,Failure to fulfill major obligations,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Continued use despite social problems,F19.21.39,Continued use despite social problems,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Important activities given up or reduced,F19.21.40,Important activities given up or reduced,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Use in physically hazardous situations,F19.21.41,Use in physically hazardous situations,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Continued use despite physical or psychological problems,F19.21.42,Continued use despite physical or psychological problems,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Tolerance: need for increased amounts,F19.21.43,Tolerance: need for increased amounts,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Mild",Withdrawal symptoms,F19.21.44,Withdrawal symptoms,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Moderate",Use in larger amounts or longer than intended,F19.21.45,Use in larger amounts or longer than intended,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Moderate",Persistent desire to cut down or quit,F19.21.46,Persistent desire to cut down or quit,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Moderate",Much time spent using the substance,F19.21.47,Much time spent using the substance,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Moderate",Craving or strong desire to use,F19.21.48,Craving or strong desire to use,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Moderate",Failure to fulfill major obligations,F19.21.49,Failure to fulfill major obligations,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Moderate",Continued use despite social problems,F19.21.50,Continued use despite social problems,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Moderate",Important activities given up or reduced,F19.21.51,Important activities given up or reduced,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Moderate",Use in physically hazardous situations,F19.21.52,Use in physically hazardous situations,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Moderate",Continued use despite physical or psychological problems,F19.21.53,Continued use despite physical or psychological problems,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Moderate",Tolerance: need for increased amounts,F19.21.54,Tolerance: need for increased amounts,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Moderate",Withdrawal symptoms,F19.21.55,Withdrawal symptoms,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Severe",Use in larger amounts or longer than intended,F19.21.56,Use in larger amounts or longer than intended,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Severe",Persistent desire to cut down or quit,F19.21.57,Persistent desire to cut down or quit,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Severe",Much time spent using the substance,F19.21.58,Much time spent using the substance,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Severe",Craving or strong desire to use,F19.21.59,Craving or strong desire to use,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Severe",Failure to fulfill major obligations,F19.21.60,Failure to fulfill major obligations,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Severe",Continued use despite social problems,F19.21.61,Continued use despite social problems,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Severe",Important activities given up or reduced,F19.21.62,Important activities given up or reduced,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Severe",Use in physically hazardous situations,F19.21.63,Use in physically hazardous situations,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Severe",Continued use despite physical or psychological problems,F19.21.64,Continued use despite physical or psychological problems,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Severe",Tolerance: need for increased amounts,F19.21.65,Tolerance: need for increased amounts,No,Symptom
Other (or Unknown) Substance Use Disorder,F19.21,"Other Substance Use Disorder, Severe",Withdrawal symptoms,F19.21.66,Withdrawal symptoms,No,Symptom
Paraphilic Disorders,F65.0,Exhibitionistic Disorder,Recurrent and intense sexual arousal from exposure of one’s genitals to an unsuspecting person,F65.0.1,Recurrent and intense sexual arousal from exposure of one’s genitals,No,Symptom
Paraphilic Disorders,F65.0,Exhibitionistic Disorder,Acts on these urges with a non-consenting person,F65.0.2,Acts on these urges with a non-consenting person,No,Symptom
Paraphilic Disorders,F65.1,Fetishistic Disorder,Sexual arousal from either the use of non-living objects or a highly specific focus on non-genital body parts,F65.1.1,Sexual arousal from use of non-living objects,No,Symptom
Paraphilic Disorders,F65.1,Fetishistic Disorder,Urges cause clinically significant distress or impairment,F65.1.2,Urges cause clinically significant distress or impairment,No,Symptom
Paraphilic Disorders,F65.2,Frotteuristic Disorder,Recurrent and intense sexual arousal from touching or rubbing against a non-consenting person,F65.2.1,Recurrent and intense sexual arousal from touching or rubbing against a non-consenting person,No,Symptom
Paraphilic Disorders,F65.2,Frotteuristic Disorder,Has acted on these urges with a non-consenting person,F65.2.2,Has acted on these urges with a non-consenting person,No,Symptom
Paraphilic Disorders,F65.3,Pedophilic Disorder,Sexual activity with a prepubescent child or children,F65.3.1,Sexual activity with a prepubescent child,No,Symptom
Paraphilic Disorders,F65.3,Pedophilic Disorder,The individual is at least 16 years old and at least 5 years older than the child,F65.3.2,The individual is at least 16 years old and at least 5 years older than the child,No,Symptom
Paraphilic Disorders,F65.4,Sexual Masochism Disorder,"Recurrent and intense sexual arousal from the act of being humiliated, beaten, bound, or otherwise made to suffer",F65.4.1,"Recurrent and intense sexual arousal from being humiliated, beaten, or made to suffer",No,Symptom
Paraphilic Disorders,F65.4,Sexual Masochism Disorder,Urges cause clinically significant distress or impairment,F65.4.2,Urges cause clinically significant distress or impairment,No,Symptom
Paraphilic Disorders,F65.5,Sexual Sadism Disorder,Recurrent and intense sexual arousal from the physical or psychological suffering of another person,F65.5.1,Recurrent and intense sexual arousal from physical or psychological suffering of another person,No,Symptom
Paraphilic Disorders,F65.5,Sexual Sadism Disorder,Has acted on these urges with a non-consenting person,F65.5.2,Has acted on these urges with a non-consenting person,No,Symptom
Paraphilic Disorders,F65.6,Transvestic Disorder,Recurrent and intense sexual arousal from cross-dressing,F65.6.1,Recurrent and intense sexual arousal from cross-dressing,No,Symptom
Paraphilic Disorders,F65.6,Transvestic Disorder,Urges cause clinically significant distress or impairment,F65.6.2,Urges cause clinically significant distress or impairment,No,Symptom
Paraphilic Disorders,F65.7,Voyeuristic Disorder,"Recurrent and intense sexual arousal from observing an unsuspecting person who is naked, in the process of disrobing, or engaging in sexual activity",F65.7.1,Recurrent and intense sexual arousal from observing an unsuspecting person disrobing or engaging in sexual activity,No,Symptom
Paraphilic Disorders,F65.7,Voyeuristic Disorder,Has acted on these urges with a non-consenting person,F65.7.2,Has acted on these urges with a non-consenting person,No,Symptom
Paraphilic Disorders,F65.8,Other Specified Paraphilic Disorder,"Persistent sexual attraction to specific objects, activities, or people outside of the norms of sexual behavior",F65.8.1,"Persistent sexual attraction to specific objects, activities, or people",No,Symptom
Paraphilic Disorders,F65.8,Other Specified Paraphilic Disorder,"The urges, fantasies, or behaviors cause clinically significant distress or impairment",F65.8.2,Urges cause clinically significant distress or impairment,No,Symptom
Paraphilic Disorders,F65.9,Unspecified Paraphilic Disorder,Sexual behaviors that cause harm to oneself or others that do not meet criteria for any of the specific paraphilic disorders,F65.9.1,Sexual behaviors that cause harm to oneself or others,No,Symptom
Paraphilic Disorders,F65.9,Unspecified Paraphilic Disorder,Significant distress or impairment related to sexual urges or fantasies not otherwise specified,F65.9.2,Significant distress or impairment related to sexual urges not otherwise specified,No,Symptom
Paraphilic Disorders,F65.9,Unspecified Paraphilic Disorder,Distress or impairment related to recurrent sexual fantasies or urges about non-normative activities,F65.9.3,Distress related to sexual fantasies or urges about non-normative activities,No,Symptom
Elimination Disorders (Encopresis),F98.0,Encopresis,Repeated defecation,F98.0.001,Defecation in inappropriate places,No,Symptom
Elimination Disorders,F98.1,Enuresis,Involuntary urination,F98.1.001,Involuntary urination at night,No,Symptom
Neurodevelopmental Disorders,F84.0,Childhood Autism,Lack of social-emotional reciprocity,F84.0.001,Difficulty in forming peer relationships,No,Symptom
Neurodevelopmental Disorders,F84.0,Childhood Autism,"Restricted, repetitive patterns of behavior",F84.0.002,Repetitive use of objects,No,Symptom
Neurodevelopmental Disorders,F84.0,Childhood Autism,Communication challenges,F84.0.003,Difficulty initiating conversations,No,Symptom
Neurodevelopmental Disorders,F82,Developmental Coordination Disorder,Clumsiness when performing everyday tasks,F82.001,Poor coordination of motor movements,No,Symptom
Neurodevelopmental Disorders,F80.1,Expressive Language Disorder,Limited vocabulary,F80.1.001,Vocabulary significantly below age expectations,No,Symptom
Neurodevelopmental Disorders,F80.1,Expressive Language Disorder,Difficulty forming sentences,F80.1.002,"Uses only short, simple sentences",No,Symptom
Neurodevelopmental Disorders,F88,Other Disorders of Psychological Development,Delayed acquisition of motor skills,F88.001,Delayed crawling or walking,No,Symptom
Neurodevelopmental Disorders,F88,Other Disorders of Psychological Development,Learning difficulties in multiple domains,F88.002,Below-average performance in academic tasks,No,Symptom
Neurodevelopmental Disorders,F81.0,Specific Learning Disorder,Difficulty reading,F81.0.001,Slow and inaccurate reading,No,Symptom
Neurodevelopmental Disorders,F81.1,Specific Learning Disorder,Difficulty with spelling,F81.1.001,Frequently misspells common words,No,Symptom
Neurodevelopmental Disorders,F81.2,Specific Learning Disorder,Difficulty with mathematics,F81.2.001,Trouble understanding math concepts,No,Symptom
Neurodevelopmental Disorders,F90.0,"ADHD, Predominantly Inattentive",Inattention to details,F90.0.001,Makes careless mistakes in schoolwork,No,Symptom
Neurodevelopmental Disorders,F90.0,"ADHD, Predominantly Inattentive",Difficulty organizing tasks,F90.0.002,Difficulty managing tasks or deadlines,No,Symptom
Neurodevelopmental Disorders,F90.1,"ADHD, Predominantly Hyperactive-Impulsive",Fidgeting or squirming,F90.1.001,Frequently leaves seat in situations requiring sitting,No,Symptom
Neurodevelopmental Disorders,F84.5,Asperger's Syndrome,Restricted interests,F84.5.001,Intense focus on specific topics,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Deficits in social-emotional reciprocity,F84.0.001,Difficulty in back-and-forth conversations,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Deficits in social-emotional reciprocity,F84.0.002,Reduced sharing of interests,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Deficits in social-emotional reciprocity,F84.0.003,Failure to initiate or respond to social interactions,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Deficits in nonverbal communication,F84.0.004,Poor use of eye contact and gestures,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Deficits in nonverbal communication,F84.0.005,Difficulty in understanding body language,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Deficits in nonverbal communication,F84.0.006,Poor facial expressions,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Deficits in relationships,F84.0.007,Difficulty adjusting behavior to suit social contexts,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Deficits in relationships,F84.0.008,Difficulty making friends,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Deficits in relationships,F84.0.009,Absence of interest in peers,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Stereotyped behaviors,F84.0.010,Repetitive motor movements,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Stereotyped behaviors,F84.0.011,Repetitive use of objects,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Stereotyped behaviors,F84.0.012,"Repetitive speech (e.g., echolalia)",No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Insistence on sameness,F84.0.013,Extreme distress at small changes,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Insistence on sameness,F84.0.014,Difficulty with transitions,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Insistence on sameness,F84.0.015,Rigid thinking patterns,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Highly restricted interests,F84.0.016,Strong attachment to unusual objects,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Highly restricted interests,F84.0.017,Excessively specific focus,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Sensory sensitivities,F84.0.018,"Overreacts to sensory input (e.g., sounds, textures)",No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Sensory sensitivities,F84.0.019,Indifference to pain/temperature,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Sensory sensitivities,F84.0.020,Adverse response to certain food textures,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Hyperactivity,F84.0.021,Impulsivity that causes significant impairment,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Hyperactivity,F84.0.022,Fidgeting or squirming in seat,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Inattention,F84.0.023,Difficulty sustaining attention during tasks,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Inattention,F84.0.024,Easily distracted by extraneous stimuli,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Impaired communication,F84.0.025,Delayed language development,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Impaired communication,F84.0.026,Difficulty understanding metaphors and humor,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Communication difficulties,F84.0.027,Tendency to interpret language literally,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Motor skill deficits,F84.0.028,Clumsiness,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Motor skill deficits,F84.0.029,Difficulty with handwriting,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Sensory processing disorder,F84.0.030,Overstimulation in noisy environments,No,Symptom
Neurodevelopmental Disorders,F84.0,Autism Spectrum Disorder,Sensory processing disorder,F84.0.031,Intolerance to bright lights,No,Symptom
